BLOCK ,NUMBER,POLE_LOC
10,1i,"8.233624391244728, 124.2430205601115"
10,2i,"8.233695719464638, 124.24310021765132"
10,3i,"8.233708858872166, 124.2428498653833"
10,4i,"8.233857146441204, 124.24294279917977"
10,5i,"8.23386653172852, 124.24290107380178"
10,6i,"8.233962261646386, 124.24241933534664"
10,7i,"8.23416873786103, 124.24250278610266"
10,8i,"8.234241943038556, 124.24254451148067"
10,9i,"8.234322656423714, 124.2425805470344"
10,10i,"8.234551657101353, 124.24268296387129"
10,11i,"8.234821952812736, 124.24277210445159"
10,12i,"8.234806969368965, 124.24295438325962"
10,13i,"8.234782415115845, 124.2430649007916"
10,14i,"8.234728842194635, 124.24329946861455"
10,15i,"8.234628392947839, 124.24329495769487"
10,16i,"8.234563658975269, 124.24392423098917"
10,17i,"8.234532408088198, 124.24377311518013"
10,18i,"8.23446767409994, 124.24351824821866"
