BLOCK,NUMBER,POLE_LOC
2,1a,"8.235391811160909, 124.2376435835482"
2,2a,"8.235639585445787, 124.23763681716869"
2,3a,"8.235728873438342, 124.23773154648181"
2,4a,"8.235945396736698, 124.23781387076583"
2,5a,"8.236117275981131, 124.23774056833395"
2,6a,"8.236180893601118, 124.23765034994051"
2,7a,"8.236349424439767, 124.23742705941675"
2,8a,"8.236404113239555, 124.2376052407438"
2,9a,"8.236498981552677, 124.23771124735939"
2,10a,"8.236478891795182, 124.23780259348277"
2,11a,"8.23640634544022, 124.23805971590407"
2,12a,"8.236271297574767, 124.23804054449548"
2,13a,"8.236161919931456, 124.23817248890524"
2,14a,"8.236318173699065, 124.23828864508681"
2,15a,"8.236517955212072, 124.23835856434172"
2,16a,"8.236712156144177, 124.23855140617412"
2,17a,"8.236615055692512, 124.23842961134298"
2,18a,"8.23660947520605, 124.23862921953848"
2,19a,"8.236467730823792, 124.23886491509134"
2,20a,"8.236035800772544, 124.23845554913169"
